Country,Film,Box Office,Week,Link clicks,Total impressions,Total reach,Organic impressions,Organic reach,Page engaged users,Page consumptions,Negative feedback from users,Total video views,Total autoplayed views,Total organic views,Video repeats,Organic 30 sec views,Unique video views,Total 30 sec views,Autoplayed 30 sec views,Total impressions of posts,Total reach of posts,Organic impressions of posts,Organic reach of posts,Paid impressions,Paid reach,Total promoted views,Paid 30 sec views,Paid impressions of posts,Paid reach of posts
5,6,1740095,2,278,13342371,5077992,227547,65510,63333,67337,51,2188323,2150380,46729,696818,8769,1491505,265546,243232,13330532,5077992,224064,64213,12929619,4954399,2141594,256777,12929619,4954399
5,6,1740095,2,260,12764609,5022044,233116,61246,56346,61469,49,2071152,2037445,44191,618746,8342,1452406,261185,241612,12753532,5022044,229937,59911,12360704,4923778,2026961,252843,12360704,4923778
5,6,1740095,2,543,15336513,5884910,267773,62881,63289,71871,52,2345820,2310224,44584,726909,8545,1618911,311567,291923,15324583,5884910,264083,61089,14894534,5783491,2301236,303022,14894534,5783491
5,6,1740095,2,890,17645505,6316383,297422,73277,71351,82053,60,2587812,2549948,47288,874769,9115,1713043,344047,324217,17632318,6310751,293300,71674,17164082,6198482,2540524,334932,17164082,6198482
5,6,1740095,2,1077,20049640,6646169,308824,82174,81554,92247,58,2797769,2756629,49357,942724,9486,1855045,370636,349908,20035025,6632821,304244,80790,19550078,6529932,2748412,361150,19550078,6529932
5,6,1740095,2,1058,21128711,6669116,348129,121609,90519,98815,60,2909735,2861858,58201,919742,12037,1989993,450617,424587,21113596,6662838,342980,119833,20545240,6530921,2851534,438580,20545240,6530921
5,6,1740095,1,1164,19791733,6306753,399040,138231,86305,90430,52,2756841,2714381,57895,856208,12430,1900633,430300,407798,19777439,6301138,393982,135797,19159897,6135361,2698946,417870,19159897,6135361
5,6,1740095,1,1350,20208654,6075288,474068,141092,87861,94549,67,2882440,2841386,59667,954582,13068,1927858,458389,436878,20193103,6074543,468725,138510,19495046,5904101,2822773,445321,19495046,5904101
5,6,1740095,1,2412,23512646,6740789,570304,151546,103419,110189,76,3126298,3080702,71849,1055922,14745,2070376,508442,484453,23494570,6732544,564000,148490,22666408,6556025,3054449,493697,22666408,6556025
5,6,1740095,1,4119,23955015,7162547,602048,162348,117189,119088,80,3239553,3188469,82238,1094037,16281,2145516,527361,499794,23934489,7153240,594777,159064,23034652,6985676,3157315,511080,23034652,6985676
5,6,1740095,1,3792,23573361,7289325,612769,163527,112725,113614,90,3330123,3279751,88120,1128351,16934,2201772,533841,505825,23551792,7276477,605511,160723,22614957,7059699,3242003,516907,22614957,7059699
5,6,1740095,1,3583,21822128,7100615,637195,170708,104026,104884,97,3244908,3197757,92434,1099261,17547,2145647,513053,486131,21800037,7100615,630071,166941,20824274,6864190,3152474,495506,20824274,6864190
5,6,1740095,1,3903,19326015,6773854,615829,156978,91352,90817,102,2914009,2878147,97069,1011262,15145,1902747,404548,386223,19304640,6773854,609200,154277,18302083,6497528,2816940,389403,18302083,6497528
5,6,1740095,0,4208,19372585,6850664,611807,154152,91675,94981,126,2988787,2951964,107280,1054091,15647,1934696,425501,407001,19349921,6849716,604563,151369,18296142,6552638,2881507,409854,18296142,6552638
5,6,1740095,0,13467,19300999,6906218,629323,157856,100149,111398,117,3016439,2974102,122832,1056916,18760,1959523,452355,431572,19277689,6905255,621364,154859,18165638,6674170,2893607,433595,18165638,6674170
5,6,1740095,0,20280,18979342,6979080,643523,162346,102275,120471,128,3105958,3060124,129624,1171302,21112,1934656,461431,438554,18953334,6978097,633700,159682,17814494,6698833,2976334,440319,17814494,6698833
5,6,1740095,0,19474,18256103,6592064,695670,176648,86575,106215,136,2868625,2830295,131416,1028013,22059,1840612,463402,443757,18228068,6591187,684253,171787,17049181,6324478,2737209,441343,17049181,6324478
5,6,1740095,0,21245,18709574,6606514,711051,172584,83183,103467,121,2663703,2629331,128440,896833,22739,1766870,524712,507322,18679374,6605633,697469,167653,17507109,6371989,2535263,501973,17507109,6371989
5,6,1740095,0,22492,19579417,6929928,738830,170283,81820,103414,122,2559868,2527010,128244,845991,23473,1713877,581901,565089,19546675,6928959,723360,165613,18357482,6645699,2431624,558428,18357482,6645699
5,6,1740095,0,25360,18752828,6860621,712627,161953,78534,101377,112,2352268,2319826,108245,742241,21970,1610027,575452,558536,18719393,6859671,696528,157039,17674305,6602329,2244023,553482,17674305,6602329
5,11,2031816,16,17,3005,1357,1290,192,76,139,0,49,38,49,5,17,44,17,8,2677,1191,1233,167,0,0,0,0,0,0
5,11,2031816,16,13,2275,1166,895,181,69,117,0,108,96,108,9,36,99,36,27,2055,1061,844,159,0,0,0,0,0,0
5,11,2031816,16,9,1970,1124,613,158,61,80,0,128,118,128,11,42,117,42,35,1802,1028,566,134,0,0,0,0,0,0
5,11,2031816,16,6,1604,1026,363,144,54,68,0,128,118,128,10,41,118,41,34,1452,931,316,118,0,0,0,0,0,0
5,11,2031816,16,0,1467,884,193,70,41,66,0,169,160,169,21,51,148,51,45,1357,811,159,49,0,0,0,0,0,0
5,11,2031816,16,0,1349,809,75,40,33,52,0,187,177,185,27,54,160,55,48,1260,753,38,18,0,0,2,1,0,0
5,11,2031816,16,0,1454,863,71,39,33,53,0,190,181,188,27,55,163,56,50,1368,807,30,16,0,0,2,1,0,0
5,11,2031816,8,51,394647,212890,38773,11438,10450,12830,13,33821,32175,33819,2873,7855,30948,7857,6662,390672,211581,37485,11034,4,3,2,2,4,3
5,11,2031816,8,27,561115,388040,36218,11428,11410,12214,15,38199,36486,29978,1507,6793,36692,8122,6864,427330,264249,33996,10307,194841,192270,8221,1329,69173,68628
5,11,2031816,8,19,932838,628691,32437,11948,13892,13136,16,41623,39714,27611,1403,6080,40220,8768,7353,432795,278226,27698,9150,587450,449275,14012,2688,110663,99960
5,11,2031816,8,19,1465148,915779,32453,13661,17025,15722,15,48066,45868,27667,3485,5912,44581,10119,8492,477272,305822,24872,8906,1104856,726330,20399,4207,160370,133180
5,11,2031816,8,19,2076409,1162886,35354,15519,20340,17946,14,49010,46541,20450,3844,4445,45166,10415,8605,488399,331079,24412,8672,1749740,997252,28560,5970,229341,178932
5,11,2031816,8,21,2709024,1393519,34653,17450,24553,21508,12,55607,52712,19850,5313,4296,50294,11887,9763,539481,363267,20437,8488,2372777,1212413,35757,7591,287089,212969
5,11,2031816,8,42,3261257,1527897,38464,20121,27857,25132,9,66027,62570,23111,6533,4944,59494,14193,11625,561542,364891,21326,9770,2951248,1354730,42916,9249,348456,242786
5,11,2031816,7,44,3848291,1630913,42250,24968,31917,29454,10,74540,70443,26882,7750,5963,66790,16435,13340,617681,385172,22140,12918,3512342,1456789,47658,10472,389787,263936
